answer_count,answer_list,category,crawl_page,crawl_time,description,location,publish_time,question_id,source_url,title
1,,[烦恼],1,2026-02-28T14:24:55.830622,,,,1763613000131122,https://wenda.so.com/q/1763613000131122,社会中有能力高调的人，给你一种什么样的感觉
1,,[软件],1,2026-02-28T14:24:55.830622,,,,1763612852130206,https://wenda.so.com/q/1763612852130206,某病毒木马能针对Windows系统，其能否针对麦金塔系统
2,,[军事国防],1,2026-02-28T14:24:55.830622,,,,1763612804139912,https://wenda.so.com/q/1763612804139912,为何第一代战斗机，基本被美国与苏联垄断
2,,[数学],1,2026-02-28T14:24:55.830622,,,,1763604819135515,https://wenda.so.com/q/1763604819135515,引力和斥力是绝对的，还是相对的？
1,,[烦恼],1,2026-02-28T14:24:55.830622,,,,1763547305136203,https://wenda.so.com/q/1763547305136203,温和的姐姐（是外人）对温和的妹妹就要好点，你觉得是什么原因？（和平时不一样）
2,,[爱情],1,2026-02-28T14:24:55.830622,,,,1763437285133056,https://wenda.so.com/q/1763437285133056,社会中宁愿选择“面包”也不选择“爱情”的人，给你一种什么样的感觉
2,,[家庭],1,2026-02-28T14:24:55.830622,,,,1763437162132490,https://wenda.so.com/q/1763437162132490,如果你的两个儿子参战，其一得军功而另一则牺牲，你有何感受
2,,[人文社科],1,2026-02-28T14:24:55.830622,,,,1763437086132160,https://wenda.so.com/q/1763437086132160,假如地球上只有一块大陆，这会产生哪些影响
2,,[军事国防],1,2026-02-28T14:24:55.830622,,,,1763437037131906,https://wenda.so.com/q/1763437037131906,陆基军用雷达的探测范围，一般高于海基者与航空者吗
1,,[历史话题],1,2026-02-28T14:24:55.830622,,,,1763436999131707,https://wenda.so.com/q/1763436999131707,在现代战争中，还有可能出现以少胜多的战局吗
1,,[客户端游戏],1,2026-02-28T14:24:55.830622,,,,1763431541132186,https://wenda.so.com/q/1763431541132186,先住着常见游戏制作工具的好坏?
2,,[烦恼],1,2026-02-28T14:24:55.830622,,,,1763422531134865,https://wenda.so.com/q/1763422531134865,女生喜欢寻求精神上的刺激，喜欢走在边缘的缘味。是为什么？喜欢与花花男交朋友，但不会发生什么
2,,[美食烹饪],1,2026-02-28T14:24:55.830622,,,,1763373562137633,https://wenda.so.com/q/1763373562137633,煮面条的时候加什么咸菜，能让清汤面瞬间变好吃？
1,,[花鸟鱼虫],1,2026-02-28T14:24:55.830622,,,,1763113381139746,https://wenda.so.com/q/1763113381139746,为什么新疆的冬天上午9点半才亮天，下午18点半就黑天了？
1,,[家居装修],1,2026-02-28T14:24:55.830622,,,,1763102005131727,https://wenda.so.com/q/1763102005131727,准备装纱窗，五金配件用合和五金好吗？
