pn,id,title,category,answer_count,time,location
1,1763687563136995,极速传说电影，kelly lin漂亮些还是张栢芝？？,[影视],0,2025.11.21,美国
1,1763613000131122,社会中有能力高调的人，给你一种什么样的感觉,[烦恼],2,2025.11.20,广东
1,1763612852130206,某病毒木马能针对Windows系统，其能否针对麦金塔系统,[软件],1,2025.11.20,广东
1,1763612804139912,为何第一代战斗机，基本被美国与苏联垄断,[军事国防],2,2025.11.20,广东
1,1763606905138230,烤地瓜的味道啊,[美食烹饪],0,2025.11.20,浙江
1,1763604819135515,引力和斥力是绝对的，还是相对的？,[数学],2,2025.11.20,北京
1,1763547305136203,温和的姐姐（是外人）对温和的妹妹就要好点，你觉得是什么原因？（和平时不一样）,[烦恼],1,2025.11.19,四川
1,1763528517138217,佛山市和佛山有啥区别,[贸易],1,2025.11.19,浙江
1,1763437285133056,社会中宁愿选择“面包”也不选择“爱情”的人，给你一种什么样的感觉,[爱情],2,2025.11.18,广东
1,1763437162132490,如果你的两个儿子参战，其一得军功而另一则牺牲，你有何感受,[家庭],2,2025.11.18,广东
1,1763437086132160,假如地球上只有一块大陆，这会产生哪些影响,[人文社科],2,2025.11.18,广东
1,1763437037131906,陆基军用雷达的探测范围，一般高于海基者与航空者吗,[军事国防],2,2025.11.18,广东
1,1763436999131707,在现代战争中，还有可能出现以少胜多的战局吗,[历史话题],1,2025.11.18,广东
1,1763431541132186,先住着常见游戏制作工具的好坏?,[客户端游戏],1,2025.11.18,北京
1,1763422531134865,女生喜欢寻求精神上的刺激，喜欢走在边缘的缘味。是为什么？喜欢与花花男交朋友，但不会发生什么,[烦恼],2,2025.11.18,美国
